suite,model_slug,parse_rate,mean_abs_shift,mean_abs_uai,mean_uai
external,Qwen_Qwen2.5-1.5B-Instruct,1.0,9.854166666666666,0.47252298830661443,0.2446159265989279
external,Qwen_Qwen2.5-3B-Instruct,0.9972222222222222,10.25296995108316,0.4680489690548941,0.18146822430314122
external,Qwen_Qwen2.5-7B-Instruct,1.0,7.065277777777778,0.3095324739859169,0.2602739373530014
external,allenai_OLMo-2-0325-32B-Instruct,1.0,9.01875,0.41065983788744315,0.3358352812493087
external,allenai_OLMo-2-1124-13B-Instruct,1.0,13.055555555555555,0.5900352913538705,0.3059797596409259
external,google_gemma-3-1b-it,0.9861111111111112,10.604798870853918,0.6326830383086138,0.12690193489488816
external,google_gemma-3-4b-it,1.0,20.233333333333334,0.9696565017394619,0.2803705736889955
external,meta-llama_Llama-3.1-8B-Instruct,1.0,13.916666666666666,0.6547084629802846,0.16205420521482666
external,meta-llama_Llama-3.2-1B-Instruct,0.9972222222222222,19.370473537604457,0.9511531632836612,0.22401271436030082
external,meta-llama_Llama-3.2-3B-Instruct,1.0,14.918055555555556,0.7083265127248909,0.21458163662786417
history,Qwen_Qwen2.5-1.5B-Instruct,1.0,28.041666666666668,,
history,Qwen_Qwen2.5-3B-Instruct,0.9972222222222222,20.4066852367688,,
history,Qwen_Qwen2.5-7B-Instruct,1.0,4.955555555555556,,
history,allenai_OLMo-2-0325-32B-Instruct,1.0,6.080555555555556,,
history,allenai_OLMo-2-1124-13B-Instruct,1.0,19.383333333333333,,
history,google_gemma-3-1b-it,1.0,11.45125348189415,,
history,google_gemma-3-4b-it,0.9972222222222222,19.181058495821727,,
history,meta-llama_Llama-3.1-8B-Instruct,1.0,10.63888888888889,,
history,meta-llama_Llama-3.2-1B-Instruct,1.0,16.025,,
history,meta-llama_Llama-3.2-3B-Instruct,1.0,14.48611111111111,,
icl,Qwen_Qwen2.5-1.5B-Instruct,1.0,1.9041666666666666,0.13436742612482824,-0.021950069252933
icl,Qwen_Qwen2.5-3B-Instruct,1.0,2.022222222222222,0.12264079679986836,-0.011503140977941804
icl,Qwen_Qwen2.5-7B-Instruct,1.0,1.4319444444444445,0.08800667364962804,-0.008539299652992863
icl,allenai_OLMo-2-0325-32B-Instruct,1.0,1.5305555555555554,0.08491543196655184,-0.020416005274388725
icl,allenai_OLMo-2-1124-13B-Instruct,1.0,5.030555555555556,0.31136859420556,-0.04303472099848209
icl,google_gemma-3-1b-it,1.0,2.7888888888888888,0.1636188370546864,0.009660572264835377
icl,google_gemma-3-4b-it,1.0,3.051388888888889,0.19363851395674797,-0.0034695158650053116
icl,meta-llama_Llama-3.1-8B-Instruct,1.0,11.151388888888889,0.6039443994082856,-0.007784003467091859
icl,meta-llama_Llama-3.2-1B-Instruct,0.9930555555555556,11.725874125874126,0.624262088041085,0.1135577250182229
icl,meta-llama_Llama-3.2-3B-Instruct,1.0,7.6,0.480798785441722,0.07185403035235743
rag,Qwen_Qwen2.5-1.5B-Instruct,1.0,6.547916666666667,0.3242750254967618,0.18044178427621219
rag,Qwen_Qwen2.5-3B-Instruct,0.9958333333333333,4.9636871508379885,0.2536134775039357,0.06408544238647074
rag,Qwen_Qwen2.5-7B-Instruct,1.0,4.175694444444445,0.2216575185163049,0.1008228056782929
rag,allenai_OLMo-2-0325-32B-Instruct,1.0,8.942592592592593,0.396327946496696,0.2621840944231625
rag,allenai_OLMo-2-1124-13B-Instruct,1.0,8.63263888888889,0.43732779108441905,0.08743886830399872
rag,google_gemma-3-1b-it,1.0,2.994675925925926,0.17890087465617702,0.018686365515843455
rag,google_gemma-3-4b-it,1.0,3.9930555555555554,0.23656484890573676,-0.004752841377921801
rag,meta-llama_Llama-3.1-8B-Instruct,1.0,9.546296296296296,0.47348390015825265,0.037759328480242035
rag,meta-llama_Llama-3.2-1B-Instruct,0.9983796296296297,10.03501043357292,0.5255113472493554,0.13968581052908124
rag,meta-llama_Llama-3.2-3B-Instruct,0.9993055555555556,10.985406532314107,0.5132202434536141,0.0970602983256733
