suite,condition,anchor_relevance,n_records,parse_rate,mean_shift,mean_uai,median_uai
external,authority_high,authority,3600,0.9994444444444445,11.11961057023644,0.5852856984380689,0.7352941176470589
external,authority_low,authority,3600,0.9994444444444445,-6.227260083449235,0.23268729202171265,0.16064516129032258
external,placebo_high,placebo,3600,0.9972222222222222,1.3078852047924212,0.11727018352040212,0.0
external,placebo_low,placebo,3600,0.9961111111111111,1.1419804741980475,0.008134230278039284,-0.0
history,control_twostage,none,3600,0.9994444444444445,6.648596052265777,,
icl,neutral_high,neutral,3600,0.9991666666666666,-0.3666944676118988,-0.012260433314954888,0.0
icl,neutral_low,neutral,3600,0.9994444444444445,-0.169816564758199,0.027267657348019225,-0.0
rag,irrelevant_high_nodiscl,irrelevant,3600,0.9994444444444445,-0.06837131739855476,0.045149539144825605,0.0
rag,irrelevant_high_order_first,irrelevant,3600,0.9991666666666666,0.11843202668890743,0.07405451464683685,0.0
rag,irrelevant_high_order_last,irrelevant,3600,0.9991666666666666,-0.229635807617459,0.06127877471130672,0.0
rag,irrelevant_low_nodiscl,irrelevant,3600,0.9980555555555556,0.178402449206791,0.006536029733375149,-0.0
rag,irrelevant_low_order_first,irrelevant,3600,0.9991666666666666,0.3302752293577982,0.014082353859775515,-0.0
rag,irrelevant_low_order_last,irrelevant,3600,0.9991666666666666,-0.1437308868501529,0.013791532692498214,-0.0
rag,plausible_high_authority,authority,3600,0.9994444444444445,3.509869335557409,0.27193656485843565,0.047619047619047616
rag,plausible_high_order_first,plausible,3600,1.0,2.4829119199777714,0.22130784934166264,0.0
rag,plausible_high_order_last,plausible,3600,0.9994444444444445,2.511259382819016,0.22128131813063295,0.0
rag,plausible_low_authority,authority,3600,0.9991666666666666,-2.081479421579533,0.10168085412892282,-0.0
rag,plausible_low_order_first,plausible,3600,1.0,-1.9666574048346763,0.0856182221959077,-0.0
rag,plausible_low_order_last,plausible,3600,1.0,-1.7038066129480411,0.07178140344977937,-0.0
